volcano_name,volcano_image,volcano_type,country,region,subregion,epoch_period,last_eruption,summit_m,elevation_ft,latitude,longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km
Nanzaki,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,106,348,34.604°N,138.832°E,,,,
"Napa, Cerro",https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5145,16880,20.52°S,68.68°W,,,,
Napo Taroare,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Indonesia,Volcanic Region,Sangihe Islands,pleistocene,Pleistocene,0,0,4.048°N,125.345°E,,,,
Narage,https://volcano.si.edu/gallery/photos/GVP-12099.jpg,Stratovolcano,Papua New Guinea,Volcanic Region,New Britain,pleistocene,Pleistocene,307,1007,4.547°S,149.113°E,,,,
"Navajas, Las",https://volcano.si.edu/gallery/photos/GVP-09886.jpg,Shield,Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,1680,5512,21.531°N,104.729°W,,,,
"Negro, Cerro",https://volcano.si.edu/includes/images/noimage.jpg,Shield,Costa Rica,Volcanic Region,Costa Rica,pleistocene,Pleistocene,136,446,10.462°N,83.855°W,112,112,406,8463
Negros de Aras,https://volcano.si.edu/gallery/photos/GVP-12349.jpg,Pyroclastic cone(s),Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,3500,11483,24.18°S,68.25°W,,,,
Nekoma,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,1404,4606,37.617°N,140.011°E,,,,
Nelangaapan,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Philippines,Volcanic Region,Central Philippines,pleistocene,Pleistocene,687,2254,9.932°N,125.27°E,,,,
Nemours-Nedroma,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Algeria,Volcanic Region,Africa (northern),pleistocene,Pleistocene,444,1457,35.07°N,2°W,,,,
"Nevada, Sierra",https://volcano.si.edu/gallery/photos/GVP-11058.jpg,Stratovolcano,Chile,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,2554,8379,38.58°S,71.58°W,,,,
"Nevado, Cerro",https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Argentina,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,3791,12438,35.58°S,68.489°W,58168,58168,78676,421077
Ngaoundere Plateau,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Cameroon,Volcanic Region,Africa (western),pleistocene,Pleistocene,1230,4035,7.25°N,13.67°E,,,,
Ngatoroirangi,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,-340,-1115,33.729°S,179.827°E,,,,
Nggatokae,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Solomon Islands,Volcanic Region,Bougainville and Solomon Islands,pleistocene,Pleistocene,840,2756,8.78°S,158.18°E,,,,
Ngorongoro,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Tanzania,Volcanic Region,Africa (eastern),pleistocene,Pleistocene,2376,7795,3.17°S,35.57°E,,,,
Nichiyo Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Japan,Volcanic Region,"Izu, Volcano, and Mariana Islands",pleistocene,Pleistocene,-1042,-3419,29.482°N,140.327°E,,,,
"Niebla, Cerro de la",https://volcano.si.edu/includes/images/noimage.jpg,Compound,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,4500,14764,25.25°S,68.63°W,,,,
"Nieges, Piton des",https://volcano.si.edu/includes/images/noimage.jpg,Shield,France,Volcanic Region,Indian Ocean (western),pleistocene,Pleistocene,3070,10072,21.08°S,55.48°E,,,,
Nigorikawa,https://volcano.si.edu/gallery/photos/GVP-09609.jpg,Caldera,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,356,1168,42.12°N,140.45°E,,,,
Niihau,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,Hawaiian Islands,pleistocene,Pleistocene,390,1280,21.95°N,160.08°W,,,,
Nikolka,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1591,5220,55.33°N,159.95°E,,,,
Niseikaushuppe,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,1883,6178,43.777°N,142.989°E,,,,
Nograd-Southern Slovakia,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Hungary,Volcanic Region,Western Europe,pleistocene,Pleistocene,720,2362,48.159°N,19.79°E,,,,
Nonda,https://volcano.si.edu/gallery/photos/GVP-11098.jpg,Stratovolcano,Solomon Islands,Volcanic Region,Bougainville and Solomon Islands,pleistocene,Pleistocene,760,2493,7.67°S,156.6°E,,,,
Noro,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,180,591,35.41°N,133.182°E,,,,
North Kawio,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Indonesia,Volcanic Region,Sangihe Islands,pleistocene,Pleistocene,109,358,4.684°N,125.468°E,,,,
Northern Atenguillo,https://volcano.si.edu/gallery/photos/GVP-07570.jpg,Shield(s),Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,1700,5577,20.75°N,104.5°W,,,,
Northern Centres,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Netherlands,Volcanic Region,West Indies,pleistocene,Pleistocene,0,0,17.508°N,62.992°W,,,,
Northern Guadalajara Mesa,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,1820,5971,20.88°N,103.4°W,,,,
Northern Mendoza Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Argentina,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,0,0,34.67°S,69°W,,,,
Northern Tongariro Group,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,1327,4354,38.98°S,175.7°E,,,,
Nosichan,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1105,3625,56.08°N,157.75°E,,,,
Nuit,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Malaysia,Volcanic Region,Borneo,pleistocene,Pleistocene,1701,5581,1.02°N,109.93°E,,,,
Nulla Volcanic Province,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Australia,Volcanic Region,Australia,pleistocene,Pleistocene,840,2756,19.82°S,145.08°E,,,,
Numa Numa,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Papua New Guinea,Volcanic Region,Bougainville and Solomon Islands,pleistocene,Pleistocene,1567,5141,6.02°S,155.192°E,,,,
Numanokami,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,1541,5056,36.772°N,139.279°E,0,0,0,1078
Nunivak Island,https://volcano.si.edu/gallery/photos/GVP-10437.jpg,Shield,United States,Volcanic Region,Alaska (western),pleistocene,Pleistocene,511,1677,60.02°N,166.33°W,,,,
Nuomin,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),China,Volcanic Region,China (eastern),pleistocene,Pleistocene,906,2972,49.617°N,123.717°E,,,,
Nushan,https://volcano.si.edu/includes/images/noimage.jpg,Cone,China,Volcanic Region,China (eastern),pleistocene,Pleistocene,0,0,33.12°N,118.75°E,,,,
Nyoho-Akanagi,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,2483,8146,36.808°N,139.54°E,,,,
"Nyokie, Ol Doinyo",https://volcano.si.edu/includes/images/noimage.jpg,Tuff cone,Kenya,Volcanic Region,Africa (eastern),pleistocene,Pleistocene,1169,3835,1.8°S,36.38°E,,,,
Nyuto-Takakura,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,1478,4849,39.802°N,140.842°E,,,,
Obiglio,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Antarctica,Volcanic Region,Antarctica and South Sandwich Islands,pleistocene,Pleistocene,488,1601,74.458°S,131.848°W,,,,
Ocate,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (New Mexico),pleistocene,Pleistocene,3000,9843,36.12°N,104.75°W,,,,
Ochchamo,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,2136,7008,55.62°N,158.15°E,,,,
Oetakayama,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,808,2651,35.061°N,132.431°E,,,,
Ogino-Sen,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,1310,4298,35.437°N,134.444°E,,,,
Ojikajima,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Japan,Volcanic Region,Ryukyu Islands and Kyushu,pleistocene,Pleistocene,95,312,33.199°N,129.051°E,,,,
Ok,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Iceland,Volcanic Region,Iceland (southwestern),pleistocene,Pleistocene,1141,3743,64.62°N,20.88°W,,,,
Okiura,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,985,3232,40.57°N,140.73°E,,,,
Okushiri-Katsumayama,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,428,1404,42.193°N,139.468°E,,,,
Olallie Butte,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,2199,7215,44.82°N,121.75°W,,,,
Olim,https://volcano.si.edu/includes/images/noimage.jpg,Fissure vent(s),Indonesia,Volcanic Region,Sumatra,pleistocene,Pleistocene,0,0,5.2°N,96.18°E,,,,
Oliver-Speight,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,-1840,-6037,32.388°S,179.591°W,21,182,1246,17574
Ollague,https://volcano.si.edu/gallery/photos/GVP-06915.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5868,19252,21.3°S,68.18°W,,,,
Olmoti,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Tanzania,Volcanic Region,Africa (eastern),pleistocene,Pleistocene,3099,10167,3°S,35.65°E,,,,
Omeshidake,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,2160,7087,36.626°N,138.461°E,,,,
Onikobe,https://volcano.si.edu/gallery/photos/GVP-11791.jpg,Caldera,Japan,Volcanic Region,Honshu,pleistocene,Pleistocene,769,2523,38.83°N,140.695°E,,,,
Onnebetsu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,1331,4367,43.991°N,145.017°E,,,,
Onoharajima,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome,Japan,Volcanic Region,"Izu, Volcano, and Mariana Islands",pleistocene,Pleistocene,114,374,34.045°N,139.387°E,,,,
"Ora, Doro",https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,Volcanic Region,Lesser Sunda Islands,pleistocene,Pleistocene,668,2192,8.75°S,119.67°E,,,,
Oricola-Carsoli,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),Italy,Volcanic Region,Italy,pleistocene,Pleistocene,0,0,42.15°N,13.08°E,,,,
Orkhon Gol,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Mongolia,Volcanic Region,Mongolia,pleistocene,Pleistocene,0,0,48.65°N,103.5°E,,,,
Orofure-Raiba,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,1231,4039,42.563°N,141.091°E,,,,
Oshima Maruyama,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,855,2805,41.54°N,140.375°E,,,,
Oshima-Kojima,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Japan,Volcanic Region,Hokkaido,pleistocene,Pleistocene,282,925,41.355°N,139.811°E,0,0,66,6106
Ostanets,https://volcano.si.edu/gallery/photos/GVP-12614.jpg,Shield(s),Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,719,2359,52.146°N,157.322°E,14,14,34,8527
Otdelniy,https://volcano.si.edu/gallery/photos/GVP-11313.jpg,Pyroclastic cone(s),Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,814,2671,52.221°N,157.435°E,,,,
Oto Group,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano(es),Papua New Guinea,Volcanic Region,New Britain,pleistocene,Pleistocene,1277,4190,5.558°S,150.407°E,,,,
"Otota, Doro",https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,Volcanic Region,Lesser Sunda Islands,pleistocene,Pleistocene,518,1699,8.72°S,119.42°E,,,,
Oujda Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Morocco,Volcanic Region,Africa (northern),pleistocene,Pleistocene,700,2297,34.53°N,3.3°W,,,,
Oulmes Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Morocco,Volcanic Region,Africa (northern),pleistocene,Pleistocene,0,0,33.33°N,6°W,,,,
Ovalny,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,732,2402,56.98°N,158.98°E,5,29,659,7138
"Overo, Cerro",https://volcano.si.edu/gallery/photos/GVP-09016.jpg,Maar,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,4576,15013,23.52°S,67.662°W,,,,
Oyma,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ethiopia,Volcanic Region,Africa (northeastern) and Red Sea,pleistocene,Pleistocene,1041,3415,12.88°N,41.62°E,0,2,81,3688
Ozernoy,https://volcano.si.edu/gallery/photos/GVP-11311.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,562,1844,51.88°N,157.38°E,,,,
Paama Island,https://volcano.si.edu/includes/images/noimage.jpg,Complex,Vanuatu,Volcanic Region,Vanuatu,pleistocene,Pleistocene,544,1785,16.47°S,168.23°E,,,,
Pacdahauan,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Philippines,Volcanic Region,Central Philippines,pleistocene,Pleistocene,628,2060,11.404°N,124.509°E,7793,79870,311625,1869793
Paco-Maniayao,https://volcano.si.edu/gallery/photos/GVP-12294.jpg,Stratovolcano,Philippines,Volcanic Region,Mindanao,pleistocene,Pleistocene,664,2178,9.593°N,125.52°E,,,,
Pailin,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Cambodia,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,0,0,12.9°N,102.6°E,,,,
Pambamarca,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,4076,13373,0.076°S,78.207°W,,,,
Pan de Azucar,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,3482,11424,0.43°S,77.72°W,,,,
Panay,https://volcano.si.edu/gallery/photos/GVP-12301.jpg,Stratovolcano,Philippines,Volcanic Region,Luzon,pleistocene,Pleistocene,501,1644,13.723°N,120.893°E,,,,
Paniri,https://volcano.si.edu/gallery/photos/GVP-06909.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5946,19508,22.059°S,68.228°W,91,474,9443,269944
"Pantoja, Cerro",https://volcano.si.edu/gallery/photos/GVP-11454.jpg,Stratovolcano,Chile,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,1897,6224,40.768°S,71.943°W,,,,
Pasochoa,https://volcano.si.edu/gallery/photos/GVP-04457.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,4199,13776,0.462°S,78.478°W,,,,
Patas,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,Volcanic Region,Lesser Sunda Islands,pleistocene,Pleistocene,1390,4560,8.261°S,114.817°E,,,,
Patilla Pata,https://volcano.si.edu/gallery/photos/GVP-11245.jpg,Stratovolcano,Bolivia,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5300,17388,18.05°S,69.03°W,,,,
"Patos, Los",https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,6250,20505,27.27°S,69°W,,,,
"Pedregal, El",https://volcano.si.edu/gallery/photos/GVP-11492.jpg,Shield,Honduras,Volcanic Region,El Salvador and Honduras,pleistocene,Pleistocene,1593,5226,14.1°N,87.27°W,,,,
Pelican Butte,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United States,Volcanic Region,USA (Oregon),pleistocene,Pleistocene,2449,8035,42.52°N,122.13°W,,,,
Pengchiahsu,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Taiwan,Volcanic Region,Taiwan,pleistocene,Pleistocene,120,394,25.63°N,122.08°E,,,,
"Perdidos, Los",https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Costa Rica,Volcanic Region,Costa Rica,pleistocene,Pleistocene,1357,4452,10.403°N,84.675°W,,,,
Perevalny,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,0,0,52.13°N,157.78°E,,,,
Perevalovyi,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1328,4357,56.57°N,159.35°E,,,,
Persani Mountains,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Romania,Volcanic Region,Western Europe,pleistocene,Pleistocene,623,2044,45.982°N,25.339°E,,,,
Pesagi,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Indonesia,Volcanic Region,Sumatra,pleistocene,Pleistocene,2232,7323,4.92°S,104.15°E,,,,
Pesawaran-Ratai,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,Volcanic Region,Sumatra,pleistocene,Pleistocene,1575,5167,5.505°S,105.093°E,673,2765,87794,1850111
Petacas,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome,Colombia,Volcanic Region,Colombia,pleistocene,Pleistocene,3576,11732,1.624°N,76.827°W,0,0,0,0
Peter I Island,https://volcano.si.edu/gallery/photos/GVP-11771.jpg,Shield,Antarctica,Volcanic Region,Antarctica and South Sandwich Islands,pleistocene,Pleistocene,1640,5381,68.85°S,90.58°W,,,,
Petr Shmidt Ridge,https://volcano.si.edu/includes/images/noimage.jpg,Unknown,Russia,Volcanic Region,Kuril Islands,pleistocene,Pleistocene,1031,3383,45.95°N,150.05°E,,,,
Phoenix Segment,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Undersea Features,Volcanic Region,Pacific Ocean (northern),pleistocene,Pleistocene,-3000,-9843,41.404°N,127.38°W,,,,
Piebald Volcanic Province,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Australia,Volcanic Region,Australia,pleistocene,Pleistocene,420,1378,15.23°S,145.03°E,,,,
Piedra Grande,https://volcano.si.edu/gallery/photos/GVP-10492.jpg,Stratovolcano(es),Guatemala,Volcanic Region,Guatemala,pleistocene,Pleistocene,1640,5381,14.25°N,90.4°W,,,,
Piedra Parada,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5920,19423,26.4°S,68.75°W,,,,
Piip,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,2059,6755,55.319°N,160.667°E,,,,
Pilavo,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Ecuador,Volcanic Region,Ecuador,pleistocene,Pleistocene,4254,13957,0.526°N,78.365°W,,,,
Pino Hachado,https://volcano.si.edu/includes/images/noimage.jpg,Caldera,Argentina,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,2017,6617,38.679°S,70.814°W,,,,
Pinto Basin-Salton Creek,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,United States,Volcanic Region,USA (California),pleistocene,Pleistocene,600,1969,33.9°N,115.63°W,,,,
Pinzon,https://volcano.si.edu/includes/images/noimage.jpg,Shield,Ecuador,Volcanic Region,Galapagos Islands,pleistocene,Pleistocene,458,1503,0.6°S,90.68°W,0,4,214,34133
Piratkovsky,https://volcano.si.edu/gallery/photos/GVP-12613.jpg,Stratovolcano,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1322,4337,52.113°N,157.849°E,,,,
Pirongia,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,956,3136,37.993°S,175.098°E,,,,
Pirozhnikova,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1646,5400,57.53°N,160.339°E,,,,
Pitcairn,https://volcano.si.edu/includes/images/noimage.jpg,Shield,United Kingdom,Volcanic Region,Pacific Ocean (central),pleistocene,Pleistocene,313,1027,25.068°S,130.113°W,,,,
"Piuquenes, Nevado de los",https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,6019,19747,33.52°S,69.83°W,,,,
Pleiku-Bantour Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Cone(s),Vietnam,Volcanic Region,Southeast Asia,pleistocene,Pleistocene,1028,3373,13.85°N,108.1°E,,,,
Ploskiy,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,877,2877,52.37°N,157.62°E,0,2,166,1813
Plosky,https://volcano.si.edu/gallery/photos/GVP-12486.jpg,Shield,Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1255,4117,57.83°N,160.25°E,653,47055,270617,862807
Poco Leok,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Indonesia,Volcanic Region,Lesser Sunda Islands,pleistocene,Pleistocene,1675,5495,8.68°S,120.48°E,,,,
"Poco Sol, Laguna",https://volcano.si.edu/includes/images/noimage.jpg,Explosion crater(?),Costa Rica,Volcanic Region,Costa Rica,pleistocene,Pleistocene,789,2589,10.35°N,84.67°W,0,0,8,9983
Pogranychny,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1427,4682,56.85°N,159.8°E,,,,
Polino,https://volcano.si.edu/includes/images/noimage.jpg,Explosion crater(s),Italy,Volcanic Region,Italy,pleistocene,Pleistocene,0,0,42.57°N,12.82°E,,,,
Pontine Islands,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Italy,Volcanic Region,Italy,pleistocene,Pleistocene,283,928,40.9°N,12.95°E,,,,
Poquis,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5770,18930,23.02°S,67.05°W,,,,
Poros,https://volcano.si.edu/includes/images/noimage.jpg,Fissure vent,Greece,Volcanic Region,Greece,pleistocene,Pleistocene,80,262,37.48°N,23.43°E,,,,
Porquesa,https://volcano.si.edu/includes/images/noimage.jpg,Lava dome(s),Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5190,17028,19.958°S,68.73°W,,,,
Porr,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,Kenya,Volcanic Region,Africa (eastern),pleistocene,Pleistocene,0,0,2.9°N,36.55°E,,,,
Potato Butte,https://volcano.si.edu/gallery/photos/GVP-06632.jpg,Shield(s),United States,Volcanic Region,USA (California),pleistocene,Pleistocene,1532,5026,40.63°N,121.43°W,,,,
Potor,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Chile,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,5318,17448,23.2°S,67.67°W,,,,
Potrillo Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone(s),United States,Volcanic Region,USA (New Mexico),pleistocene,Pleistocene,1695,5561,31.98°N,107.13°W,,,,
Pouakai,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,New Zealand,Volcanic Region,New Zealand,pleistocene,Pleistocene,1399,4590,39.23°S,174.02°E,,,,
Poza Rica,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,2250,7382,20.42°N,97.83°W,,,,
"Primavera, Sierra la",https://volcano.si.edu/gallery/photos/GVP-10022.jpg,Caldera,Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,2270,7448,20.62°N,103.52°W,,,,
Prindle,https://volcano.si.edu/includes/images/noimage.jpg,Pyroclastic cone,United States,Volcanic Region,Alaska (eastern),pleistocene,Pleistocene,1245,4085,63.716°N,141.634°W,,,,
Prodolny,https://volcano.si.edu/includes/images/noimage.jpg,Shield(s),Russia,Volcanic Region,Kamchatka Peninsula,pleistocene,Pleistocene,1505,4938,55.45°N,157.25°E,,,,
"Pucara, Cerro",https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Bolivia,Volcanic Region,"Northern Chile, Bolivia and Argentina",pleistocene,Pleistocene,4080,13386,16.236°S,69.471°W,,,,
Pueblo Nuevo Viñas,https://volcano.si.edu/gallery/photos/GVP-08417.jpg,Stratovolcano,Guatemala,Volcanic Region,Guatemala,pleistocene,Pleistocene,1939,6362,14.199°N,90.505°W,,,,
Puelche Volcanic Field,https://volcano.si.edu/includes/images/noimage.jpg,Volcanic field,Chile,Volcanic Region,Central Chile and Argentina,pleistocene,Pleistocene,3140,10302,35.78°S,70.48°W,,,,
Pulau Weh,https://volcano.si.edu/gallery/photos/GVP-11986.jpg,Stratovolcano,Indonesia,Volcanic Region,Sumatra,pleistocene,Pleistocene,617,2024,5.82°N,95.28°E,,,,
"Pulpito, Punta",https://volcano.si.edu/gallery/photos/GVP-12037.jpg,Lava dome,Mexico,Volcanic Region,Mexico,pleistocene,Pleistocene,131,430,26.517°N,111.444°W,,,,
Pumpan,https://volcano.si.edu/includes/images/noimage.jpg,Stratovolcano,Vanuatu,Volcanic Region,Vanuatu,pleistocene,Pleistocene,802,2631,18.85°S,169.12°E,,,,
